PropertyName,MeanSale,MedianSale,MeanRental,MedianRental,%toBreakEven,NSale,NRental,NError,URL
Residensi Alam Damai,460500.0,420000.0,1212.0,1200.0,70.72135785007072,6,20,0,https://www.propertyguru.com.my/condo/residensi-alam-damai-11829
Desa Villa,637400.0,600000.0,1870.8333333333333,1800.0,74.25742574257426,20,12,0,https://www.propertyguru.com.my/condo/desa-villa-767
The Meritz,1497538.4615384615,1300000.0,3805.0,3550.0,67.59329779131758,13,20,0,https://www.propertyguru.com.my/condo/the-meritz-1004
Merdeka Villa,297990.0,310000.0,1018.75,1000.0,79.84669434685404,20,8,0,https://www.propertyguru.com.my/condo/merdeka-villa-1017
Pandan Court,328777.77777777775,325000.0,1185.7142857142858,1200.0,91.3937547600914,9,14,0,https://www.propertyguru.com.my/condo/pandan-court-1124
Glenview Villa,386255.0,374000.0,1426.611111111111,1400.0,92.65632445597501,20,18,0,https://www.propertyguru.com.my/condo/glenview-villa-1122
Grandeur Tower,325333.3333333333,310000.0,1264.2857142857142,1300.0,103.80070265091025,9,7,0,https://www.propertyguru.com.my/condo/grandeur-tower-1123
Taman Sri Sentosa,388909.0909090909,205000.0,1000.0,1000.0,120.74378169524269,11,1,0,https://www.propertyguru.com.my/condo/taman-sri-sentosa-1219
1K Tricourt,280000.0,280000.0,1275.0,1275.0,112.7121640735502,1,2,0,https://www.propertyguru.com.my/condo/1k-tricourt-1247
Sucasa Corporate Apartments,499654.22222222225,518888.0,1700.0,1700.0,81.09497217278503,9,20,0,https://www.propertyguru.com.my/condo/sucasa-corporate-apartments-15198
Skyville @ Benteng 8,475410.1666666667,502120.0,1721.4285714285713,1700.0,83.80309073685989,6,7,0,https://www.propertyguru.com.my/condo/skyville-benteng-8-16460
Royalle Condominium,591800.0,591000.0,2925.0,2925.0,122.5059054128763,12,2,0,https://www.propertyguru.com.my/condo/royalle-condominium-16430
Bandar Tasik Selatan Low Cost Flat,194916.66666666666,190000.0,1400.0,1000.0,130.27618551328817,12,3,0,https://www.propertyguru.com.my/condo/bandar-tasik-selatan-low-cost-flat-16444
28 Residence @ Beverly Heights,1800000.0,1800000.0,4375.0,4375.0,60.16226622662266,1,2,0,https://www.propertyguru.com.my/condo/28-residence-beverly-heights-15632
The Ooak (Kiara 163),787180.0,755000.0,2982.45,3000.0,98.35420628155529,20,20,0,https://www.propertyguru.com.my/condo/the-ooak-kiara-163-9221
Setia Sky Seputeh,2296900.0,2125000.0,4500.0,4500.0,52.417006406523,20,1,0,https://www.propertyguru.com.my/condo/setia-sky-seputeh-13358
"The Rainz, Bukit Jalil",967650.0,955000.0,2223.2,2800.0,72.57270229640766,20,20,0,https://www.propertyguru.com.my/condo/the-rainz-bukit-jalil-9281
Villa Ampang Condominium,519333.3333333333,498000.0,1725.0,1700.0,84.49640144737366,3,4,0,https://www.propertyguru.com.my/condo/villa-ampang-condominium-62
Vista Damai,771050.0,810000.0,2422.5,2450.0,74.8685979709082,20,20,0,https://www.propertyguru.com.my/condo/vista-damai-63
Menara Bangsar,1510000.0,1550000.0,4053.3333333333335,4200.0,67.0712232513574,10,15,0,https://www.propertyguru.com.my/condo/menara-bangsar-101
Sri Bayu (Bukit Bandaraya),980000.0,970000.0,2883.3333333333335,3000.0,76.55404715729306,3,3,0,https://www.propertyguru.com.my/condo/sri-bayu-bukit-bandaraya-108
Bangsar Indah,650000.0,650000.0,2100.0,2100.0,79.96953541507997,1,2,0,https://www.propertyguru.com.my/condo/bangsar-indah-88
Sutera Bukit Tunku,2222500.0,1800000.0,6433.333333333333,6500.0,89.38393839383939,8,3,0,https://www.propertyguru.com.my/condo/sutera-bukit-tunku-397
Meadow Park 2,309699.95,295000.0,1181.111111111111,1200.0,100.68803490518545,20,9,0,https://www.propertyguru.com.my/condo/meadow-park-2-381
De Tropicana,305899.95,302500.0,1320.0,1400.0,114.5569102364782,20,20,0,https://www.propertyguru.com.my/condo/de-tropicana-363
Pangsapuri Sri Bandar,320000.0,320000.0,1100.0,1100.0,85.08663366336634,1,1,0,https://www.propertyguru.com.my/condo/pangsapuri-sri-bandar-351
Villa Angsana,415550.0,384000.0,1382.5,1350.0,87.02042079207921,20,20,0,https://www.propertyguru.com.my/condo/villa-angsana-347
Bukit OUG Condominiums,353194.4,352500.0,1242.3,1200.0,84.26374552348851,20,20,0,https://www.propertyguru.com.my/condo/bukit-oug-condominiums-358
Nyaman Court,423333.3333333333,420000.0,1166.6666666666667,1200.0,70.72135785007072,3,3,0,https://www.propertyguru.com.my/condo/nyaman-court-384
Stonor Park,3426043.3333333335,3300000.0,7477.777777777777,7500.0,56.255625562556254,15,9,0,https://www.propertyguru.com.my/condo/stonor-park-440
The Westside One,1261000.0,1445000.0,4080.0,4000.0,68.51896262290589,20,20,0,https://www.propertyguru.com.my/condo/the-westside-one-470
