PropertyName,MedianSale,MeanSale,StdSale,NSale,EOLSale,MOLSale,MedianRental,MeanRental,StdRental,NRental,EOLRent,MOLRent,NNaN,%toBreakEven,URL
100 Residency,780000.0,779230.7692307692,50453.56409786641,13,0.0,0.0,3200.0,3200.0,189.73665961010275,5,0.0,0.0,0,101.54861640010154,https://www.propertyguru.com.my/condo/100-residency-6278
D'Sands Residence @ Old Klang Road,615000.0,620166.6111111111,100237.59006987065,72,0.0,0.0,1600.0,1429.193103448276,650.8068021660047,145,0.0,0.0,0,64.39668357079611,https://www.propertyguru.com.my/condo/d-sands-residence-old-klang-road-6251
SkyVille 8 @ Benteng 8,534620.0,537461.5,94565.67078094461,16,2.0,1.0,1875.0,1813.3,230.49904555116925,30,0.0,1.0,0,86.81098928044015,https://www.propertyguru.com.my/condo/skyville-8-benteng-8-6287
Platinum Lake Condominium PV 20,460000.0,473417.4368932039,34883.04396390551,103,0.0,13.0,1500.0,1407.8815789473683,255.59733788588065,76,7.0,3.0,0,80.71459319845027,https://www.propertyguru.com.my/condo/platinum-lake-condominium-pv-20-6239
Avantas Residences @ Old Klang Road,650000.0,651347.8260869565,95557.68059847968,23,0.0,0.0,1850.0,1857.9130434782608,294.3325408657296,69,0.0,0.0,0,70.44935262757045,https://www.propertyguru.com.my/condo/avantas-residences-old-klang-road-6254
Taman Connaught Flat (High Rise),165000.0,431666.6666666667,387778.5737018256,3,0.0,0.0,1000.0,983.3333333333334,143.37208778404377,3,0.0,0.0,0,150.01500150015002,https://www.propertyguru.com.my/condo/taman-connaught-flat-high-rise-6299
Taman Connaught Flat (Low Rise),459000.0,459000.0,291000.0,2,2.0,0.0,850.0,850.0,50.0,2,2.0,0.0,0,45.837917125045834,https://www.propertyguru.com.my/condo/taman-connaught-flat-low-rise-6296
Hedgeford 10 Residences @ Wangsa Maju,300000.0,293837.8378378378,47031.62450344622,37,9.0,2.0,1600.0,1564.2857142857142,224.74475317931817,7,0.0,0.0,0,132.01320132013203,https://www.propertyguru.com.my/condo/hedgeford-10-residences-wangsa-maju-6338
The Reach @ Titiwangsa,880000.0,1067030.2084805653,503199.11979595403,283,0.0,17.0,2600.0,2870.125,761.5247850621074,72,0.0,6.0,0,73.13231323132314,https://www.propertyguru.com.my/condo/the-reach-titiwangsa-6329
Taman Kepong Indah Flat,220000.0,420000.0,289942.52303976845,3,0.0,0.0,1000.0,1000.0,0.0,1,1.0,0.0,0,112.51125112511251,https://www.propertyguru.com.my/condo/taman-kepong-indah-flat-6335
The Loft @ ZetaPark,400000.0,443031.70588235295,139411.9730284481,153,0.0,0.0,1700.0,1738.4214876033059,460.8945622968575,121,0.0,0.0,0,105.1980198019802,https://www.propertyguru.com.my/condo/the-loft-zetapark-6401
Maxim Residences @ Cheras KL,420000.0,426994.48076923075,67914.9934617997,156,1.0,3.0,1500.0,1487.9378881987577,337.58447186627194,161,3.0,13.0,0,88.40169731258841,https://www.propertyguru.com.my/condo/maxim-residences-cheras-kl-6395
Maxim Citylights @ Sentul KL,399500.0,397658.3333333333,62095.02071198803,120,0.0,0.0,1300.0,1424.842105263158,258.67539025850994,114,0.0,1.0,0,80.54622733862873,https://www.propertyguru.com.my/condo/maxim-citylights-sentul-kl-6392
Anjali North Kiara,1150000.0,2428548.7560975607,2782630.543513828,82,14.0,1.0,3500.0,3705.4927536231885,1085.6929881141555,69,2.0,2.0,0,75.3336203185536,https://www.propertyguru.com.my/condo/anjali-north-kiara-6425
Cloud Tree @ Cheras,600000.0,658981.6292134832,167951.9233734465,89,5.0,5.0,1874.5,2066.0882352941176,495.4262198081127,34,5.0,1.0,0,77.33085808580859,https://www.propertyguru.com.my/condo/cloud-tree-cheras-6410
South View Serviced Apartments,750000.0,729746.2611940298,121326.3617866579,134,0.0,1.0,2300.0,2295.3324538258576,421.5805919904939,379,1.0,10.0,0,75.9075907590759,https://www.propertyguru.com.my/condo/south-view-serviced-apartments-6431
Expressionz Professional Suites,1003000.0,1002486.9512195121,289896.1350121337,41,2.0,8.0,1240.0,1492.5,670.6946026322263,16,2.0,0.0,0,30.601265510399493,https://www.propertyguru.com.my/condo/expressionz-professional-suites-6467
The Leafz @ Sungai Besi,600000.0,610839.6825396825,120642.2358057769,63,0.0,0.0,2000.0,2100.541176470588,401.6146544356163,170,0.0,1.0,0,82.5082508250825,https://www.propertyguru.com.my/condo/the-leafz-sungai-besi-6464
Villa Crystal,750000.0,770640.625,124559.51980723663,65,0.0,0.0,2000.0,2068.407894736842,344.3099192065034,76,0.0,2.0,1,66.00660066006601,https://www.propertyguru.com.my/condo/villa-crystal-6473
Vila Vista @ Cheras,657000.0,759418.9024390244,183092.43889755223,41,0.0,0.0,3200.0,3024.037037037037,1421.924894653605,27,2.0,6.0,0,120.5600012056,https://www.propertyguru.com.my/condo/vila-vista-cheras-6470
Twin Arkz @ Bukit Jalil,1022500.0,1201424.975,479342.2449352943,120,0.0,0.0,3000.0,2957.5,692.9901995459003,120,0.0,1.0,0,72.62339925924134,https://www.propertyguru.com.my/condo/twin-arkz-bukit-jalil-6461
The Link 2 Residences,640000.0,658326.905940594,140740.07566599982,202,0.0,1.0,1900.0,1986.1461988304093,483.0216136061587,171,0.0,12.0,0,73.48391089108911,https://www.propertyguru.com.my/condo/the-link-2-residences-6482
Tribeca Bukit Bintang,1155000.0,1083363.5909090908,250487.13064722123,22,0.0,1.0,2500.0,2751.8571428571427,622.3026051583488,161,2.0,6.0,0,53.57678625005357,https://www.propertyguru.com.my/condo/tribeca-bukit-bintang-6512
Serai Bukit Bandaraya,8190000.0,8368702.5,1738694.9972710614,60,3.0,3.0,18000.0,18131.81818181818,1888.093401877904,22,0.0,0.0,0,54.4010445000544,https://www.propertyguru.com.my/condo/serai-bukit-bandaraya-6500
Lido Residency,638000.0,644088.5696202532,126188.16792821979,79,1.0,9.0,2000.0,2024.4318181818182,350.4051484760354,88,0.0,0.0,0,77.59396629318105,https://www.propertyguru.com.my/condo/lido-residency-6506
The Vyne,575000.0,585152.5423728813,126736.5897107163,59,0.0,1.0,1600.0,1356.4246575342465,550.3262025880829,73,0.0,0.0,0,68.87645286267757,https://www.propertyguru.com.my/condo/the-vyne-6521
Dua Menjalara Kondominium,1200000.0,1178210.5263157894,448853.57815889,57,2.0,0.0,5200.0,4877.777777777777,2071.3805261106945,9,0.0,0.0,0,107.26072607260727,https://www.propertyguru.com.my/condo/dua-menjalara-kondominium-6542
